aX,aY,aZ,gX,gY,gZ
1.742,-0.240,1.453,-64.941,66.467,37.781
1.899,-0.315,2.011,-78.125,123.047,41.748
1.948,-0.289,2.613,-76.904,200.317,50.232
1.780,-0.023,2.995,-59.692,293.152,60.059
1.506,0.228,3.104,-2.686,396.301,45.654
1.132,0.321,2.872,97.473,487.244,-0.366
0.773,0.279,2.279,221.680,553.650,-57.922
0.524,0.292,1.607,332.275,589.111,-99.243
0.462,0.040,0.139,395.081,608.093,-114.685
0.305,-0.054,-0.673,365.784,596.863,-110.779
-0.306,0.062,-0.674,298.706,527.771,-72.754
-0.721,-0.127,-0.951,249.634,494.263,-28.992
-0.904,-0.177,-1.277,172.485,473.450,32.471
-0.956,0.283,-1.796,90.942,448.669,106.812
-0.947,0.669,-1.999,54.199,403.564,141.541
-0.825,0.915,-2.050,80.139,341.980,137.268
-0.578,0.938,-1.977,118.958,267.578,112.976
-0.437,0.873,-1.746,131.592,191.711,89.539
-0.453,0.777,-1.459,124.634,131.042,74.829
-0.452,0.733,-1.243,107.300,99.792,68.420
-0.414,0.749,-1.137,83.984,86.426,65.247
-0.363,0.762,-1.093,66.772,73.853,58.533
-0.361,0.739,-1.053,54.565,57.556,46.997
-0.369,0.694,-1.019,43.091,41.626,34.241
-0.353,0.645,-1.032,32.043,29.480,23.743
-0.323,0.607,-1.080,19.653,19.714,15.808
-0.299,0.585,-1.107,6.775,9.521,9.094
-0.253,0.562,-1.119,-2.380,-2.808,2.075
-0.196,0.529,-1.122,-7.141,-16.968,-5.798
-0.145,0.490,-1.112,-11.169,-33.020,-15.259
-0.078,0.444,-1.117,-18.250,-49.622,-25.940
-0.014,0.392,-1.088,-31.921,-66.711,-36.194
0.071,0.293,-1.036,-44.617,-81.726,-44.006
0.184,0.267,-1.022,-49.072,-92.896,-45.288
0.189,0.225,-1.024,-48.645,-101.624,-46.021
0.261,0.187,-0.970,-50.110,-110.107,-46.509
0.332,0.133,-0.893,-53.284,-117.126,-46.936
0.375,0.105,-0.841,-55.542,-120.728,-47.302
0.426,0.103,-0.828,-57.556,-121.460,-46.753
0.466,0.120,-0.820,-58.289,-122.009,-46.631
0.490,0.127,-0.812,-56.702,-124.573,-49.377
0.494,0.135,-0.805,-53.650,-128.601,-53.162
0.490,0.134,-0.786,-50.598,-132.690,-56.885
0.477,0.106,-0.748,-47.791,-136.108,-59.753
0.467,0.046,-0.711,-45.166,-136.902,-61.646
0.474,0.002,-0.677,-42.908,-136.047,-60.913
0.500,-0.022,-0.664,-40.894,-134.277,-56.702
0.539,-0.024,-0.675,-40.588,-131.958,-50.659
0.577,-0.009,-0.692,-42.053,-130.493,-43.762
0.608,0.002,-0.710,-42.725,-130.798,-37.537
0.623,0.012,-0.714,-43.701,-132.996,-33.020
0.643,0.026,-0.711,-44.067,-135.132,-29.663
0.664,0.027,-0.701,-43.884,-137.695,-27.710
0.677,0.038,-0.699,-42.786,-141.724,-25.940
0.700,0.062,-0.728,-40.771,-148.376,-25.024
0.712,0.086,-0.726,-36.499,-163.147,-25.452
0.718,0.121,-0.675,-26.611,-183.105,-28.687
0.722,0.107,-0.593,-15.747,-199.219,-37.598
0.761,0.080,-0.483,-11.169,-209.473,-47.607
