X,aY,aZ,gX,gY,gZ
-0.966,-0.475,-1.893,135.193,-544.434,-101.135
-0.993,-0.388,-1.341,114.197,-606.018,-70.618
-1.157,-0.478,-0.518,93.811,-636.292,-58.655
-1.248,-0.753,0.520,82.886,-643.982,-52.612
-1.275,-1.083,1.790,76.721,-637.390,-32.043
-1.114,-0.872,2.684,67.261,-603.210,6.958
-0.780,-0.417,2.566,46.448,-509.338,42.480
-0.506,-0.199,2.069,20.142,-396.606,48.523
-0.443,-0.138,2.013,-8.911,-328.125,32.104
-0.458,-0.308,2.186,-19.775,-294.556,12.085
-0.576,-0.572,2.480,-14.771,-273.621,0.854
-0.540,-0.577,2.768,-7.812,-243.713,9.277
-0.439,-0.511,2.676,4.089,-195.923,20.569
-0.324,-0.409,2.451,16.846,-149.658,28.320
-0.143,-0.274,2.346,25.940,-113.403,31.250
-0.079,-0.308,2.198,34.851,-85.449,22.095
-0.028,-0.342,1.951,33.875,-54.504,7.996
0.052,-0.298,1.814,22.766,-26.306,-0.122
0.091,-0.299,1.662,12.573,-1.526,-9.094
0.119,-0.304,1.457,2.869,22.827,-18.921
0.123,-0.323,1.300,-4.761,37.659,-23.376
0.144,-0.308,1.203,-10.254,43.579,-22.339
0.164,-0.277,1.138,-14.893,46.509,-20.752
0.159,-0.253,1.154,-18.188,48.706,-20.386
0.152,-0.219,1.200,-19.775,53.589,-20.203
0.157,-0.191,1.231,-18.738,61.340,-20.386
0.144,-0.190,1.204,-15.808,70.251,-21.973
0.121,-0.197,1.141,-13.977,80.933,-24.231
0.089,-0.225,1.001,-13.489,89.539,-26.306
0.060,-0.287,0.776,-15.747,93.140,-27.161
0.049,-0.351,0.779,-28.748,88.135,-26.428
0.069,-0.291,0.992,-42.542,75.195,-19.836
0.074,-0.271,1.091,-41.382,67.383,-13.611
0.068,-0.247,1.104,-34.485,68.604,-10.620
0.074,-0.225,1.104,-28.687,73.547,-8.972
0.071,-0.230,1.145,-22.827,78.430,-8.057
0.063,-0.239,1.223,-18.677,82.703,-7.935
0.060,-0.243,1.284,-17.151,89.966,-7.751
0.063,-0.266,1.407,-22.217,101.563,-7.935
0.065,-0.278,1.521,-32.593,118.835,-8.423
0.058,-0.289,1.529,-42.114,143.860,-9.888
0.042,-0.326,1.433,-48.889,172.974,-11.841
0.027,-0.369,1.307,-54.688,199.524,-12.390
0.033,-0.393,1.213,-57.678,217.590,-10.071
0.051,-0.374,1.148,-54.993,224.792,-4.639
0.076,-0.323,1.143,-46.631,222.351,2.747
0.144,-0.250,1.181,-34.790,216.125,12.024
0.211,-0.146,1.180,-21.545,214.111,18.738
0.252,-0.052,1.147,-10.437,217.468,19.409
0.261,-0.027,1.152,-5.737,225.891,15.015
0.247,-0.093,1.082,-6.104,240.356,9.521
0.254,-0.195,0.935,-11.658,261.230,6.958
0.295,-0.255,0.729,-21.729,282.776,7.812
0.334,-0.295,0.545,-33.142,296.082,10.498
0.350,-0.316,0.396,-40.527,296.997,14.893
