aX,aY,aZ,gX,gY,gZ
0.515,-1.878,0.233,-89.478,45.166,227.356
0.382,-1.822,0.414,-81.848,55.359,282.043
0.236,-1.697,0.532,-55.054,66.895,327.454
0.062,-1.522,0.631,-18.127,78.918,361.023
-0.244,-1.280,0.680,19.836,92.041,385.864
-0.489,-0.924,0.694,56.335,102.966,407.410
-0.809,-0.680,0.666,84.229,108.826,426.086
-1.034,-0.279,0.692,105.835,107.605,447.327
-1.193,0.077,0.672,125.977,101.440,465.332
-1.322,0.499,0.663,137.451,96.680,481.201
-1.344,0.885,0.796,143.677,97.412,486.145
-1.279,1.199,0.842,158.386,95.764,479.309
-1.226,1.491,0.849,177.063,94.299,456.238
-1.192,1.721,0.819,194.580,93.384,423.645
-1.205,2.019,0.760,202.454,94.299,390.686
-0.965,2.340,0.692,197.266,97.412,360.779
-1.219,2.420,0.464,196.289,83.374,342.957
-0.987,2.579,0.269,171.936,80.383,333.374
-0.601,2.632,0.385,129.333,76.660,309.204
-0.512,2.581,0.383,114.075,46.265,269.836
-0.398,2.418,0.399,104.065,38.452,224.731
-0.297,2.301,0.406,97.168,45.166,183.899
-0.280,2.168,0.360,98.938,45.776,148.499
-0.259,2.099,0.327,96.558,46.448,123.352
-0.203,2.020,0.315,88.989,42.908,106.506
-0.162,2.077,0.329,83.069,31.860,95.703
-0.130,1.988,0.321,75.073,20.935,84.106
-0.110,2.003,0.306,67.566,13.672,70.313
-0.063,2.036,0.313,59.570,13.306,51.453
-0.032,2.056,0.304,52.124,15.320,26.917
-0.014,2.019,0.272,44.800,15.930,-0.183
-0.035,1.942,0.223,35.828,13.306,-25.879
-0.071,1.842,0.179,24.231,7.751,-48.157
-0.084,1.689,0.191,8.240,0.610,-67.078
-0.093,1.498,0.244,-8.057,-7.874,-80.750
-0.091,1.325,0.303,-22.034,-13.794,-89.172
-0.074,1.145,0.345,-30.334,-17.395,-93.689
-0.047,1.011,0.371,-32.837,-20.630,-95.215
-0.027,0.942,0.416,-32.532,-23.682,-95.032
0.020,0.914,0.454,-30.945,-22.644,-94.238
0.031,0.905,0.461,-28.625,-22.461,-94.299
0.047,0.904,0.463,-28.503,-22.217,-95.947
0.058,0.926,0.486,-30.945,-19.775,-98.877
0.080,0.932,0.500,-35.217,-17.273,-100.586
0.104,0.948,0.505,-39.124,-13.550,-101.318
0.123,0.949,0.499,-42.419,-10.254,-101.990
