aX,aY,aZ,gX,gY,gZ
0.928,1.708,-0.007,-77.515,33.020,-40.649
0.656,1.736,-0.111,-62.927,32.959,-80.688
0.649,1.876,-0.169,-50.903,26.794,-115.051
0.497,1.848,-0.272,-42.725,20.203,-153.320
0.249,1.841,-0.286,-52.368,14.221,-198.181
0.029,1.772,-0.277,-63.904,2.563,-240.601
-0.153,1.685,-0.237,-73.364,-14.221,-282.776
-0.333,1.502,-0.138,-81.482,-34.851,-330.139
-0.480,1.349,-0.026,-78.613,-53.772,-375.366
-0.642,1.202,0.061,-64.392,-66.895,-423.157
-0.823,1.023,0.102,-46.204,-74.463,-472.839
-0.980,0.804,0.137,-33.447,-77.515,-518.066
-1.120,0.598,0.167,-24.292,-79.712,-555.176
-1.160,0.355,0.136,-10.437,-83.801,-588.623
-1.253,0.006,0.456,9.277,-101.929,-629.944
-1.411,-0.305,0.781,45.776,-135.132,-680.664
-1.536,-0.472,0.822,113.281,-147.156,-727.051
-1.816,-0.938,0.671,183.228,-126.892,-763.794
-2.112,-1.724,0.441,191.162,-90.637,-762.329
-2.202,-2.270,0.292,137.146,-44.067,-694.031
-2.065,-2.781,0.364,75.378,-5.127,-591.736
-2.425,-3.360,0.315,13.977,18.127,-476.013
-2.263,-3.594,0.391,-52.246,54.321,-342.346
-2.069,-3.552,0.308,-95.398,83.374,-214.966
-1.862,-3.395,0.098,-109.497,95.459,-115.601
-1.616,-3.155,-0.100,-109.314,92.285,-44.983
-1.326,-2.876,-0.229,-96.802,75.073,-1.892
-1.057,-2.646,-0.334,-67.139,46.875,15.991
-0.825,-2.474,-0.425,-30.273,15.625,18.860
-0.644,-2.379,-0.483,-0.793,-10.437,18.738
-0.511,-2.325,-0.501,15.320,-28.503,25.757
-0.412,-2.248,-0.480,21.362,-37.598,43.396
-0.344,-2.143,-0.421,22.949,-40.649,68.176
-0.307,-2.027,-0.328,22.705,-39.795,92.590
-0.269,-1.927,-0.254,23.071,-38.391,111.694
